pc_time,seq,tick_ms,bitmap,sensor_1_x_gs,sensor_1_y_gs,sensor_1_z_gs,sensor_2_x_gs,sensor_2_y_gs,sensor_2_z_gs,sensor_3_x_gs,sensor_3_y_gs,sensor_3_z_gs,sensor_4_x_gs,sensor_4_y_gs,sensor_4_z_gs,sensor_5_x_gs,sensor_5_y_gs,sensor_5_z_gs,sensor_6_x_gs,sensor_6_y_gs,sensor_6_z_gs,sensor_7_x_gs,sensor_7_y_gs,sensor_7_z_gs,sensor_8_x_gs,sensor_8_y_gs,sensor_8_z_gs,sensor_9_x_gs,sensor_9_y_gs,sensor_9_z_gs,sensor_10_x_gs,sensor_10_y_gs,sensor_10_z_gs,sensor_11_x_gs,sensor_11_y_gs,sensor_11_z_gs,sensor_12_x_gs,sensor_12_y_gs,sensor_12_z_gs,imu_seq,imu_tick_ms,ax,ay,az,gx,gy,gz,temp
1780493821.437558,103129,493337,0x0FFF,0.439941,0.318958,-0.989868,0.296960,0.494934,-0.967871,0.164978,0.329956,-0.868884,0.219971,-0.681909,1.187842,0.142981,-0.384949,1.165845,0.043994,-0.252966,1.308826,0.175977,0.406946,-0.879883,0.241968,0.439941,-0.901880,0.076990,0.428943,-0.912878,0.230969,-0.395947,0.945874,0.109985,-0.351953,1.154846,0.241968,-0.296960,1.187842,103127,493333,-100,109,8246,-16,-4,-20,633
1780493821.439598,103131,493339,0x0FFF,0.461938,0.318958,-0.989868,0.318958,0.439941,-0.912878,0.252966,0.274963,-0.945874,0.362952,-0.637915,1.198840,0.186975,-0.285962,1.264832,0.043994,-0.318958,1.253833,0.219971,0.384949,-0.923877,0.109985,0.351953,-0.769897,0.076990,0.274963,-0.967871,0.263965,-0.483936,1.011865,0.131982,-0.362952,1.055859,0.186975,-0.186975,1.286829,103130,493337,-104,106,8238,-17,-1,-22,638
1780493821.441579,103132,493341,0x0FFF,0.362952,0.373950,-1.066858,0.296960,0.472937,-1.077856,0.164978,0.461938,-0.923877,0.318958,-0.571924,1.198840,0.043994,-0.296960,1.264832,0.021997,-0.318958,1.374817,0.208972,0.252966,-1.000867,0.153979,0.450940,-0.934875,0.098987,0.428943,-0.901880,0.208972,-0.439941,1.000867,0.087988,-0.417944,1.220837,0.175977,-0.197974,1.165845,103130,493337,-104,106,8238,-17,-1,-22,638
1780493821.443609,103133,493343,0x0FFF,0.494934,0.428943,-1.033862,0.296960,0.527930,-0.978870,0.362952,0.318958,-0.956873,0.197974,-0.615918,1.198840,0.131982,-0.450940,1.231836,0.087988,-0.285962,1.319824,0.120984,0.318958,-0.890881,0.164978,0.494934,-0.824890,0.131982,0.406946,-0.934875,0.252966,-0.296960,0.934875,0.109985,-0.296960,1.143848,0.230969,-0.186975,1.308826,103130,493337,-104,106,8238,-17,-1,-22,638
1780493821.445653,103135,493345,0x0FFF,0.483936,0.318958,-1.011865,0.208972,0.527930,-0.923877,0.230969,0.351953,-0.868884,0.219971,-0.615918,1.286829,0.109985,-0.428943,1.242834,0.000000,-0.197974,1.308826,0.230969,0.263965,-1.044861,0.164978,0.450940,-0.912878,0.065991,0.384949,-1.044861,0.186975,-0.483936,0.857886,0.153979,-0.307959,1.022864,0.142981,-0.230969,1.176843,103134,493343,-102,116,8238,-18,0,-21,641
1780493821.447698,103136,493347,0x0FFF,0.417944,0.351953,-0.989868,0.307959,0.450940,-0.967871,0.263965,0.318958,-0.857886,0.285962,-0.692908,1.275830,0.098987,-0.417944,1.198840,-0.054993,-0.362952,1.253833,0.186975,0.351953,-1.022864,0.153979,0.417944,-0.824890,0.142981,0.560925,-0.879883,0.197974,-0.450940,1.066858,0.153979,-0.373950,1.088855,0.164978,-0.285962,1.220837,103134,493343,-102,116,8238,-18,0,-21,641
1780493821.449922,103138,493349,0x0FFF,0.439941,0.252966,-0.879883,0.285962,0.516931,-0.945874,0.098987,0.373950,-0.890881,0.131982,-0.494934,1.187842,0.098987,-0.340955,1.242834,0.043994,-0.208972,1.253833,0.252966,0.318958,-1.077856,0.197974,0.450940,-0.901880,0.274963,0.417944,-1.022864,0.340955,-0.472937,1.044861,0.175977,-0.395947,1.110852,0.263965,-0.175977,1.187842,103137,493347,-100,115,8235,-16,0,-19,636
1780493821.452419,103139,493351,0x0FFF,0.472937,0.340955,-0.978870,0.351953,0.593921,-0.956873,0.241968,0.362952,-0.879883,0.296960,-0.692908,1.165845,0.219971,-0.296960,1.143848,-0.043994,-0.175977,1.297827,0.318958,0.285962,-0.956873,0.208972,0.362952,-0.857886,0.153979,0.417944,-0.923877,0.164978,-0.417944,1.011865,0.054993,-0.351953,1.088855,0.197974,-0.186975,1.231836,103137,493347,-100,115,8235,-16,0,-19,636
1780493821.453769,103141,493353,0x0FFF,0.373950,0.285962,-0.989868,0.263965,0.406946,-1.033862,0.186975,0.307959,-1.044861,0.175977,-0.681909,1.297827,0.131982,-0.373950,1.231836,-0.021997,-0.318958,1.275830,0.230969,0.384949,-0.989868,0.186975,0.362952,-0.802893,0.109985,0.428943,-0.879883,0.230969,-0.362952,1.000867,0.142981,-0.340955,1.088855,0.120984,-0.153979,1.187842,103140,493352,-92,118,8242,-20,-1,-21,629
1780493821.455914,103142,493355,0x0FFF,0.483936,0.351953,-1.066858,0.274963,0.373950,-0.956873,0.197974,0.329956,-0.890881,0.307959,-0.648914,1.275830,0.076990,-0.351953,1.231836,0.054993,-0.329956,1.264832,0.197974,0.307959,-1.088855,0.263965,0.450940,-0.890881,0.120984,0.373950,-0.945874,0.186975,-0.417944,0.989868,0.142981,-0.373950,1.176843,0.197974,-0.252966,1.176843,103140,493352,-92,118,8242,-20,-1,-21,629
