sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
1.546203,-0.275118,2.165433,2.674983,1.517195,-0.285012,2.092920,2.600659,1.491471,-0.268766,2.080798,2.574187,1.366580,0.264263,-2.072777,2.496754,1.450337,0.335141,-2.222919,2.675288,1.370508,0.315245,-2.148306,2.567662,-1.392602,0.313427,2.084000,2.525992,-1.379193,0.268228,2.166486,2.582204,-1.386710,0.187873,2.154562,2.569124,-1.380090,-0.267658,-2.036609,2.474685,-1.390790,-0.317845,-2.053695,2.500597,-1.385556,-0.273362,-2.104314,2.534291
1.510653,-0.276743,2.189083,2.674088,1.483365,-0.286698,2.114454,2.598746,1.458195,-0.269555,2.101150,2.571735,1.333676,0.263963,-2.093109,2.495891,1.416487,0.334746,-2.242967,2.673835,1.337508,0.316395,-2.169943,2.568596,-1.360367,0.314618,2.102553,2.523948,-1.345270,0.270478,2.184274,2.579528,-1.354626,0.190968,2.172677,2.567490,-1.350022,-0.267927,-2.054044,2.472537,-1.359770,-0.318745,-2.072498,2.499164,-1.354324,-0.274511,-2.124291,2.534198
1.505201,-0.275718,2.192272,2.673520,1.478156,-0.286311,2.117299,2.598052,1.453235,-0.269346,2.103023,2.570437,1.329278,0.264618,-2.096710,2.496637,1.412767,0.335591,-2.246314,2.674782,1.332137,0.316263,-2.171935,2.567472,-1.355894,0.314217,2.105184,2.523684,-1.341010,0.270385,2.187570,2.580093,-1.351136,0.189681,2.175588,2.568020,-1.345541,-0.267972,-2.055883,2.471628,-1.356414,-0.318451,-2.075194,2.499540,-1.350871,-0.274240,-2.127175,2.534745
1.505095,-0.275822,2.191347,2.672712,1.477950,-0.286107,2.117450,2.598036,1.453700,-0.269398,2.103279,2.570914,1.329177,0.265074,-2.095723,2.495803,1.411457,0.335440,-2.246304,2.674063,1.331982,0.315749,-2.170310,2.565954,-1.355638,0.314423,2.105281,2.523653,-1.339972,0.270388,2.187463,2.579462,-1.349750,0.190571,2.175976,2.567686,-1.345591,-0.269018,-2.056306,2.472120,-1.354990,-0.318354,-2.074893,2.498505,-1.350046,-0.273172,-2.126735,2.533821
1.506039,-0.276896,2.192953,2.674672,1.478569,-0.286719,2.118118,2.598999,1.453493,-0.269090,2.103777,2.571172,1.329076,0.263811,-2.096347,2.496139,1.411300,0.336014,-2.245174,2.673103,1.331827,0.317339,-2.169510,2.565393,-1.355843,0.314320,2.105334,2.523795,-1.341063,0.270024,2.188700,2.581041,-1.350109,0.190208,2.174868,2.566909,-1.345840,-0.268919,-2.056847,2.472695,-1.355956,-0.318351,-2.074595,2.498782,-1.350252,-0.274144,-2.125709,2.533175
1.505777,-0.276486,2.194442,2.675703,1.478672,-0.286206,2.118470,2.599288,1.454113,-0.269398,2.105194,2.572715,1.329480,0.264666,-2.096263,2.496374,1.411248,0.335805,-2.246204,2.673915,1.331879,0.316672,-2.170924,2.566533,-1.355946,0.314166,2.105539,2.524001,-1.341166,0.270282,2.188593,2.581031,-1.349852,0.190981,2.175664,2.567506,-1.345492,-0.268769,-2.056554,2.472246,-1.355651,-0.318504,-2.075042,2.499006,-1.350922,-0.274085,-2.127228,2.534800
1.505882,-0.276846,2.192387,2.674113,1.478775,-0.286924,2.117967,2.599016,1.453596,-0.269449,2.104487,2.571849,1.329026,0.264924,-2.096617,2.496457,1.411562,0.334712,-2.245365,2.673239,1.331879,0.316672,-2.170772,2.566404,-1.356049,0.313499,2.104689,2.523265,-1.340595,0.270695,2.188582,2.580768,-1.350006,0.191286,2.175050,2.567089,-1.345442,-0.268918,-2.055131,2.471052,-1.355295,-0.318303,-2.075744,2.499371,-1.350767,-0.274497,-2.126310,2.533992
1.505095,-0.277268,2.193937,2.674986,1.478517,-0.287284,2.117612,2.598620,1.453854,-0.269244,2.105241,2.572591,1.328722,0.264574,-2.096212,2.495918,1.412033,0.336011,-2.246832,2.674882,1.331982,0.317032,-2.170319,2.566119,-1.355072,0.314578,2.105632,2.523662,-1.340855,0.270231,2.187980,2.580344,-1.349852,0.190981,2.174701,2.566690,-1.345442,-0.268321,-2.055974,2.471688,-1.354939,-0.318607,-2.074988,2.498589,-1.350613,-0.274498,-2.126614,2.534165
1.505463,-0.277006,2.192852,2.674276,1.478569,-0.286412,2.117300,2.598299,1.453545,-0.269500,2.103430,2.570961,1.328773,0.264320,-2.096057,2.495788,1.411824,0.336168,-2.245489,2.673664,1.331879,0.317288,-2.170371,2.566141,-1.355226,0.314270,2.104119,2.522443,-1.340335,0.270387,2.187158,2.579393,-1.349442,0.190729,2.175313,2.566975,-1.345094,-0.268719,-2.055721,2.471331,-1.355600,-0.318908,-2.073735,2.497946,-1.349634,-0.273433,-2.126073,2.533074
1.506039,-0.276535,2.193052,2.674716,1.478362,-0.285694,2.117703,2.598430,1.452873,-0.269141,2.103622,2.570700,1.328823,0.264471,-2.096857,2.496503,1.410828,0.335911,-2.245686,2.673271,1.331776,0.317595,-2.170574,2.566298,-1.355998,0.314679,2.105075,2.523706,-1.339816,0.270337,2.186799,2.578814,-1.350160,0.189745,2.175080,2.567081,-1.345392,-0.268819,-2.056406,2.472074,-1.355295,-0.318353,-2.073644,2.497633,-1.350046,-0.275171,-2.126401,2.533757
