combo,s1,s2,s3,geometry_rank_centered,gradient_rank_C,success_count,cycle_count,status,cvt_ep_mean,cvt_ep_median,cvt_eR_mean,cvt_eR_median,cci_ep_mean,cci_ep_median,cci_eR_mean,cci_eR_median,delta_cci_minus_cvt_ep_mean,delta_cci_minus_cvt_eR_mean,cci_better_ep_count,cci_better_eR_count
3-4-11,3,4,11,2,5,10,10,ok,0.021333489614190387,0.021830733202176857,0.26008697359726818,0.26337123231939669,0.021755366944131629,0.021543398837611458,0.20740850169997219,0.19054856921946936,0.00042187732994124205,-0.052678471897295992,4,9
3-4-12,3,4,12,2,5,10,10,ok,0.020920420845628774,0.018854336860404726,0.27468757995970178,0.27307173733918799,0.01947246277826049,0.016922550706845889,0.23513054233743064,0.22266868972457632,-0.0014479580673682838,-0.039557037622271141,10,10
3-5-6,3,5,6,2,5,10,10,ok,0.025603763690115168,0.023750293964395684,0.26889758188201085,0.262282893024672,0.024316839012890928,0.022097576416107691,0.24748385649941143,0.24871803582461482,-0.0012869246772242403,-0.021413725382599419,8,8
3-5-7,3,5,7,2,5,10,10,ok,0.016088736853854507,0.013615489469905463,0.4226602162288236,0.43128098319104924,0.021123913714409522,0.020032920542235579,0.42339633571745694,0.45878550015863556,0.005035176860555015,0.00073611948863333554,1,3
3-5-8,3,5,8,2,5,10,10,ok,0.013622775357827696,0.013503575237133745,0.36805800222604929,0.36986696029635968,0.017844209268692325,0.016097371346852445,0.39481125434506409,0.40619937135673123,0.0042214339108646286,0.026753252119014803,1,1
3-5-9,3,5,9,2,5,10,10,ok,0.017614915865017615,0.017803430131314912,0.28493800266488406,0.27409259730376534,0.016980533266933953,0.018645845723768102,0.31094706794172128,0.29595428860371475,-0.00063438259808366176,0.026009065276837218,5,1
3-5-10,3,5,10,2,5,10,10,ok,0.020950271571507119,0.018680307774738621,0.18863315800893662,0.19137136473995231,0.020275835595155854,0.017527234484420045,0.15665445309424411,0.15173904806935862,-0.00067443597635126473,-0.031978704914692513,6,9
3-5-11,3,5,11,2,5,10,10,ok,0.019197271966433293,0.016773278196239277,0.24665524527519858,0.23961676054888975,0.016687948275362931,0.015171626441572975,0.23160296491352081,0.22072512117084747,-0.0025093236910703615,-0.015052280361677772,9,8
3-5-12,3,5,12,2,5,10,10,ok,0.018561558740201954,0.015644625880937513,0.28285686604081184,0.27349354029508011,0.013224894146055979,0.012221048322482886,0.31471173553831633,0.30030355525216179,-0.0053366645941459751,0.03185486949750449,9,0
3-6-7,3,6,7,2,5,10,10,ok,0.025550946146792691,0.025505140701092475,0.48955691427531339,0.53421807666674526,0.026907372553014747,0.029161925308486224,0.42825051675270531,0.49766422093126406,0.0013564264062220568,-0.06130639752260808,3,8
3-6-8,3,6,8,2,5,10,10,ok,0.01703984487561138,0.016522846376777374,0.46249167787192935,0.4735824310055024,0.020369764992491539,0.020590308831817512,0.4335024069996698,0.46879064019017186,0.0033299201168801584,-0.028989270872259554,0,9
3-6-9,3,6,9,2,5,10,10,ok,0.015938579048639705,0.015675011142938729,0.36851017870420483,0.3669801958562795,0.01620615869698764,0.014040620754155964,0.36843552602720891,0.3746875023353885,0.0002675796483479348,-7.4652676995912159e-05,5,4
3-6-10,3,6,10,2,5,10,10,ok,0.018532748013222543,0.01522444066475746,0.20974731589636061,0.24001872541381172,0.020753572330536364,0.013747273998453206,0.18097287091892952,0.18969442193143102,0.0022208243173138208,-0.028774444977431091,5,8
3-6-11,3,6,11,2,5,10,10,ok,0.016330018481325696,0.015615870930236416,0.31045219692650938,0.34939946875139166,0.017275312801075315,0.015727114429729083,0.24971755150184402,0.30791319040885445,0.00094529431974961844,-0.060734645424665362,4,10
3-6-12,3,6,12,2,5,10,10,ok,0.015940479206502843,0.015141232717006273,0.40981250228811505,0.41826978672406612,0.015550078544296395,0.016266071828712616,0.40104942161212165,0.41205143428571622,-0.00039040066220644848,-0.0087630806759934066,5,4
