combo,cycle,status,cvt_ep,cvt_eR,cci_ep,cci_eR
1-4-5,cycle_0007.json,ok,0.022222101108060766,0.5387338246240021,0.034481624869689476,0.31181733707317077
1-4-5,cycle_0008.json,ok,0.028772191337866574,0.36948630786301573,0.033703290318359717,0.25341911376612503
1-4-5,cycle_0009.json,ok,0.03340004316365517,0.39293339717276882,0.044639010648155904,0.25291879051765181
1-4-6,cycle_0000.json,ok,0.038172701158069498,0.36760342463722456,0.043685293098025789,0.28186670030057381
1-4-6,cycle_0001.json,ok,0.044655855019531218,0.36523265903894858,0.055906829870077328,0.33175939286035411
1-4-6,cycle_0002.json,ok,0.056183468557693184,0.30795248149084037,0.068753911757761965,0.29718647864655878
1-4-6,cycle_0003.json,ok,0.020719319866106065,0.33827504340136855,0.021489042977049001,0.30860767618620871
1-4-6,cycle_0004.json,ok,0.0039317353583908964,0.45998223381757852,0.0045045686853702523,0.40525933844524109
1-4-6,cycle_0005.json,ok,0.036642922427289587,0.27098739957073908,0.035673334353090586,0.21905809785012323
1-4-6,cycle_0006.json,ok,0.033430889220555975,0.30396687753985702,0.032395789165781161,0.26212908847083416
1-4-6,cycle_0007.json,ok,0.036577978161893954,0.35994127061745218,0.039454711898594293,0.26965851775515948
1-4-6,cycle_0008.json,ok,0.026796351287987717,0.36514792401337204,0.030003118818876177,0.26903780693684315
1-4-6,cycle_0009.json,ok,0.035986212918349678,0.36841922756367024,0.040975494510422178,0.28347239194450935
1-4-7,cycle_0000.json,ok,0.011528104063520856,0.40809584225705831,0.0082739049886559266,0.4224952079085586
1-4-7,cycle_0001.json,ok,0.004864057918813721,0.50506178119350353,0.0069111401392908771,0.4084751742601419
1-4-7,cycle_0002.json,ok,0.010213053308837792,0.41420461985707324,0.0093781474576862395,0.39032012490300272
1-4-7,cycle_0003.json,ok,0.026043757125797568,0.46723840109467429,0.028014445539731984,0.48104173432773284
1-4-7,cycle_0004.json,ok,0.028462805041294763,0.60561499144416497,0.031366615922246523,0.61568740173961201
1-4-7,cycle_0005.json,ok,0.0093488128536926961,0.45745489148388763,0.012011607861373496,0.49801283756938652
1-4-7,cycle_0006.json,ok,0.018171859071007278,0.52332892866547043,0.023923739179423569,0.55151837976482299
1-4-7,cycle_0007.json,ok,0.0095002834853098132,0.52446425516408735,0.011435135371036268,0.49710260989896732
1-4-7,cycle_0008.json,ok,0.0075502585564911455,0.46841054297779933,0.010846591221575611,0.46964219144245495
1-4-7,cycle_0009.json,ok,0.0072865548399319944,0.44781551441974871,0.009273826431985311,0.43506477398864185
1-4-8,cycle_0000.json,ok,0.012243963286424525,0.43465842086084377,0.0066567530004095947,0.43138937044619474
1-4-8,cycle_0001.json,ok,0.013199898662406352,0.44875957798177313,0.0089942641372889407,0.41710235659083478
1-4-8,cycle_0002.json,ok,0.011187783401219833,0.46431444022696566,0.0086339695985650951,0.38520407186967764
1-4-8,cycle_0003.json,ok,0.020514852641769016,0.42352830977056155,0.02144946898086228,0.42568207602297625
1-4-8,cycle_0004.json,ok,0.020143961804346661,0.56102070236457036,0.023148713971716767,0.5687231930579848
1-4-8,cycle_0005.json,ok,0.0055569448399735537,0.46565975333997289,0.0077379428720941333,0.47286166146663955
1-4-8,cycle_0006.json,ok,0.015218762602429986,0.55015131995862121,0.019330885002163688,0.53528018119729304
1-4-8,cycle_0007.json,ok,0.0045424145813070995,0.46882516682190289,0.0046519351137609601,0.45309824227985951
1-4-8,cycle_0008.json,ok,0.005801559027416886,0.44522387287136794,0.0066886659857133346,0.44509961786405833
1-4-8,cycle_0009.json,ok,0.0082436019919760288,0.45037367817698876,0.0043886895621530536,0.42305641718212855
1-4-9,cycle_0000.json,ok,0.027180586186207334,0.30626939415162696,0.022030230506777774,0.27423874134872417
1-4-9,cycle_0001.json,ok,0.02613479190149717,0.39195149753696723,0.026135317652884463,0.3022427207077687
1-4-9,cycle_0002.json,ok,0.023576785502148093,0.38206649628391326,0.022196788947371808,0.26162344983626257
1-4-9,cycle_0003.json,ok,0.014809714517921424,0.37131188515935265,0.014576349967587733,0.35958974821442768
1-4-9,cycle_0004.json,ok,0.0095427649002634042,0.46646102181349514,0.010804534408491804,0.44965154605725466
1-4-9,cycle_0005.json,ok,0.013541241459742902,0.35063267288558975,0.0096702270765540582,0.34123860353526919
1-4-9,cycle_0006.json,ok,0.0090585549479911699,0.44496332980853354,0.0077811307830907422,0.401379328349183
1-4-9,cycle_0007.json,ok,0.02008127456013737,0.37016892380068589,0.017314600426290485,0.31523312584274632
1-4-9,cycle_0008.json,ok,0.010894455530583221,0.389859524981441,0.0074690220873879845,0.3365518554308824
1-4-9,cycle_0009.json,ok,0.023950588080042336,0.34348055999207744,0.018401559437258748,0.30382504931180587
1-4-10,cycle_0000.json,ok,0.016574932846140516,0.29084296005006477,0.019089073388899615,0.20546005869576658
1-4-10,cycle_0001.json,ok,0.02767510126112601,0.19670018241834691,0.030103752669830289,0.11810287645434436
1-4-10,cycle_0002.json,ok,0.042227664392437546,0.086715491275641238,0.043284803357624697,0.045509864554699034
1-4-10,cycle_0003.json,ok,0.022065974096252078,0.32810811106635901,0.022073368932781525,0.32143949966803465
1-4-10,cycle_0004.json,ok,0.028586321337332885,0.53549089931828442,0.028482162929277306,0.49979920795572086
1-4-10,cycle_0005.json,ok,0.022384553676852222,0.51808747344545369,0.022108422983164757,0.48928724772621623
1-4-10,cycle_0006.json,ok,0.029902823827133003,0.56650818945879877,0.02948088829008496,0.50430068478031531
1-4-10,cycle_0007.json,ok,0.0043930727649275246,0.40132388591956603,0.0044210911012426326,0.34261554836254388
1-4-10,cycle_0008.json,ok,0.0060794296961967304,0.32018891810908423,0.0089165515881366765,0.25020072209949379
1-4-10,cycle_0009.json,ok,0.014685520767009746,0.26476078014138044,0.017099136657855733,0.19340548928471046
1-4-11,cycle_0000.json,ok,0.014213371334947069,0.44863112909780833,0.016243904523643514,0.35759503911367768
1-4-11,cycle_0001.json,ok,0.02208082338511827,0.40758865672776967,0.02497263183775953,0.31679722105745178
1-4-11,cycle_0002.json,ok,0.035156566865382544,0.28438201042984917,0.035906551794500974,0.21140368050754776
1-4-11,cycle_0003.json,ok,0.018131987835257015,0.34692975943673338,0.018616181678225274,0.33714238713305544
1-4-11,cycle_0004.json,ok,0.02239378856036894,0.59326095796568046,0.023227621230703887,0.55877356737157013
1-4-11,cycle_0005.json,ok,0.012005215872896973,0.54111706218431588,0.01282145074888202,0.51629283022584394
1-4-11,cycle_0006.json,ok,0.020580030770688262,0.6262137715535393,0.020391856271693081,0.5529482410796891
1-4-11,cycle_0007.json,ok,0.00086765924887647141,0.5108507977492972,0.0039230730665673324,0.41313696933024946
