sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
0.105600,0.263634,0.037284,0.286434,0.100401,0.256589,0.039216,0.278309,0.099521,0.258223,0.034144,0.278836,0.101002,-0.253554,-0.034015,0.275042,0.105400,-0.262400,-0.044207,0.286212,0.096943,-0.254038,-0.047007,0.275940,-0.098284,-0.253737,0.057385,0.278092,-0.097673,-0.258356,0.059510,0.282541,-0.093611,-0.264642,0.053819,0.285823,-0.089138,0.250528,-0.056680,0.271887,-0.100099,0.249195,-0.057205,0.274573,-0.101316,0.257172,-0.055923,0.282010
0.102926,0.261023,0.057292,0.286373,0.098853,0.253658,0.056250,0.277990,0.096679,0.255153,0.052179,0.277799,0.098324,-0.251096,-0.051099,0.274459,0.102151,-0.259059,-0.063247,0.285563,0.093224,-0.252622,-0.063961,0.276766,-0.094171,-0.250549,0.073373,0.277537,-0.094037,-0.255409,0.075761,0.282518,-0.090530,-0.261985,0.071044,0.286145,-0.086301,0.248788,-0.071276,0.272807,-0.097099,0.246963,-0.073302,0.275304,-0.098636,0.254838,-0.072928,0.282825
0.098993,0.261445,0.058838,0.285684,0.094367,0.254767,0.059600,0.278143,0.092546,0.256335,0.055404,0.278104,0.093471,-0.252359,-0.053767,0.274432,0.098850,-0.259619,-0.065184,0.285345,0.090229,-0.254897,-0.066510,0.278455,-0.090418,-0.251619,0.075155,0.277733,-0.090140,-0.256482,0.077752,0.282761,-0.086372,-0.263007,0.074964,0.286797,-0.082218,0.249240,-0.074937,0.272940,-0.093488,0.247963,-0.074811,0.275359,-0.094616,0.255821,-0.075114,0.282911
0.091862,0.261162,0.071568,0.285948,0.088127,0.255971,0.070232,0.279678,0.085880,0.255214,0.065637,0.277160,0.087254,-0.251330,-0.064249,0.273693,0.090099,-0.259274,-0.076555,0.284959,0.082586,-0.253194,-0.077162,0.277276,-0.082706,-0.250783,0.085656,0.277613,-0.081984,-0.255792,0.088921,0.282945,-0.078416,-0.261977,0.085074,0.286389,-0.075597,0.248201,-0.084192,0.272777,-0.085454,0.246474,-0.086861,0.274948,-0.086628,0.254968,-0.086168,0.282733
0.083421,0.261070,0.078275,0.285033,0.079979,0.256397,0.078220,0.279740,0.078388,0.255682,0.072621,0.277113,0.078864,-0.251593,-0.071072,0.273075,0.082344,-0.259505,-0.084050,0.284935,0.074530,-0.253239,-0.083596,0.276899,-0.074892,-0.251126,0.093089,0.278098,-0.074348,-0.255927,0.096026,0.283280,-0.071024,-0.262699,0.092482,0.287416,-0.067632,0.248607,-0.090429,0.273052,-0.077571,0.247058,-0.093450,0.275295,-0.078845,0.255194,-0.092080,0.282523
0.074140,0.259214,0.088297,0.283699,0.071005,0.254819,0.088056,0.278798,0.068932,0.255076,0.081820,0.276604,0.070221,-0.251044,-0.080999,0.272974,0.073960,-0.258174,-0.094041,0.284548,0.064614,-0.252627,-0.093314,0.276953,-0.065895,-0.249314,0.102105,0.277353,-0.064582,-0.254975,0.103610,0.282698,-0.061578,-0.260983,0.100450,0.286346,-0.059020,0.247172,-0.098786,0.272647,-0.069435,0.246175,-0.102411,0.275520,-0.069362,0.254069,-0.101359,0.282198
0.072200,0.264047,0.079237,0.284977,0.069149,0.258761,0.079824,0.279483,0.066710,0.258561,0.072650,0.276735,0.069261,-0.253714,-0.071086,0.272436,0.071759,-0.261599,-0.084062,0.283990,0.063736,-0.256738,-0.083355,0.277353,-0.065535,-0.252185,0.092279,0.276419,-0.063802,-0.259457,0.094663,0.283460,-0.060757,-0.265179,0.092220,0.287256,-0.058273,0.251205,-0.090824,0.273402,-0.068621,0.249911,-0.092529,0.275184,-0.069981,0.258533,-0.090555,0.282731
0.088297,0.266545,0.053753,0.285888,0.084259,0.262059,0.052967,0.280321,0.082780,0.260851,0.048178,0.277879,0.085132,-0.256467,-0.047067,0.274296,0.088737,-0.265096,-0.057817,0.285470,0.081450,-0.259052,-0.058681,0.277822,-0.081626,-0.256011,0.068172,0.277222,-0.081413,-0.263211,0.070848,0.284478,-0.078108,-0.267257,0.065617,0.286064,-0.074253,0.254774,-0.065450,0.273326,-0.084691,0.252434,-0.067671,0.274727,-0.086731,0.261476,-0.065382,0.283138
0.099518,0.268629,0.019374,0.287124,0.095450,0.263698,0.019956,0.281150,0.093682,0.262992,0.016425,0.279663,0.095948,-0.258406,-0.014798,0.276041,0.100841,-0.266910,-0.024795,0.286399,0.093637,-0.260626,-0.027394,0.278288,-0.092371,-0.258494,0.036595,0.276931,-0.093881,-0.264582,0.038847,0.283419,-0.089401,-0.268844,0.033528,0.285296,-0.084857,0.256257,-0.034385,0.272122,-0.095319,0.255547,-0.035614,0.275060,-0.098069,0.262723,-0.032944,0.282358
0.099413,0.270125,-0.006230,0.287905,0.094315,0.265232,-0.004964,0.281546,0.093166,0.263710,-0.008749,0.279820,0.096100,-0.259319,0.010126,0.276738,0.100527,-0.268678,0.001635,0.286873,0.093896,-0.262010,-0.001406,0.278330,-0.092783,-0.261418,0.010879,0.277608,-0.094400,-0.266233,0.013114,0.282778,-0.089606,-0.269565,0.007953,0.284179,-0.083811,0.257303,-0.010994,0.270832,-0.094963,0.256657,-0.012242,0.273936,-0.096935,0.264709,-0.008546,0.282029
