sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z,b_ref_x,b_ref_y,b_ref_z,Delta_o,channel,voltage,source_file
-10.154883,-0.990723,11.489258,-9.761328,-1.029199,11.42373,-9.941504,-0.863672,11.133789,-10.145996,0.541504,-10.901367,-10.430078,0.860645,-11.099023,-10.376074,0.981641,-10.664551,10.026074,0.968848,10.78252,10.385254,0.89873,10.650781,10.355469,1.019043,10.832812,9.975,-1.284863,-10.883984,10.010547,-0.984082,-10.88125,10.170117,-0.805957,-10.801172,-10.144360333333333,10.96201975,0.93574225,0.03885857662681551,manual_x,3,manual_x_3V_cleaned.csv
-10.48252,-0.99541,11.195312,-10.087988,-1.033008,11.142676,-10.259668,-0.868652,10.848535,-10.451465,0.541504,-10.609668,-10.742773,0.855957,-10.796875,-10.677539,0.981445,-10.365723,10.330176,0.968945,10.49082,10.685254,0.904199,10.347461,10.661816,1.039844,10.533105,10.286035,-1.292773,-10.590723,10.318848,-0.981055,-10.591797,10.474512,-0.807617,-10.507129,-10.454882833333333,10.668318666666666,0.93920075,0.04005087030584537,manual_x,3,manual_x_3V_cleaned.csv
-10.799902,-0.997168,10.892578,-10.40166,-1.03584,10.847363,-10.570117,-0.875293,10.553027,-10.748535,0.541699,-10.305469,-11.046289,0.850488,-10.485547,-10.968164,0.980469,-10.052539,10.623437,0.963867,10.1875,10.972852,0.90752,10.028418,10.95498,1.05625,10.221777,10.58584,-1.300977,-10.283984,10.616406,-0.974316,-10.287891,10.768945,-0.807617,-10.19834,-10.754760583333333,10.362036083333333,0.9409586666666667,0.04099429373574634,manual_x,3,manual_x_3V_cleaned.csv
-11.105762,-1.000586,10.579395,-10.707422,-1.037793,10.54375,-10.870801,-0.880957,10.250293,-11.035547,0.542676,-9.995117,-11.339844,0.843359,-10.158105,-11.249023,0.976953,-9.730371,10.906152,0.961621,9.872461,11.256055,0.912207,9.709375,11.238477,1.074121,9.897266,10.875781,-1.306445,-9.972363,10.903906,-0.970898,-9.980078,11.05166,-0.808008,-9.883105,-11.045035833333333,10.047639916666666,0.9429686666666668,0.042128546326649384,manual_x,3,manual_x_3V_cleaned.csv
-11.404199,-1.002734,10.256055,-11.000977,-1.040137,10.231055,-11.159473,-0.884668,9.935059,-11.309961,0.542773,-9.670117,-11.621875,0.837012,-9.825195,-11.520703,0.975488,-9.395996,11.177539,0.956836,9.552246,11.522656,0.916211,9.370898,11.509668,1.091504,9.56582,11.155078,-1.31377,-9.646289,11.181152,-0.963574,-9.658203,11.322949,-0.808008,-9.555859,-11.323852500000001,9.721899333333333,0.9443929166666667,0.043185731941061074,manual_x,3,manual_x_3V_cleaned.csv
-11.689941,-1.00625,9.919141,-11.285352,-1.039453,9.907129,-11.437402,-0.89043,9.607031,-11.573438,0.544434,-9.335449,-11.893066,0.830176,-9.48125,-11.782227,0.974707,-9.055176,11.443164,0.95293,9.224414,11.781543,0.921582,9.033594,11.771289,1.108398,9.221777,11.425586,-1.320117,-9.313672,11.44834,-0.955859,-9.32666,11.585645,-0.808789,-9.219043,-11.59308275,9.387028,0.9460937500000001,0.04435960736564939,manual_x,3,manual_x_3V_cleaned.csv
-11.966504,-1.008008,9.579395,-11.559277,-1.041211,9.573633,-11.706152,-0.895312,9.272949,-11.828711,0.544336,-8.995313,-12.153418,0.824805,-9.129492,-12.028223,0.971387,-8.704102,11.697559,0.950488,8.883887,12.031543,0.925977,8.678613,12.023438,1.126172,8.874219,11.685449,-1.325977,-8.969238,11.704492,-0.951758,-8.989355,11.83916,-0.811328,-8.876563,-11.851993833333333,9.043896583333334,0.9480632500000001,0.04543552345190696,manual_x,3,manual_x_3V_cleaned.csv
-12.230957,-1.011133,9.228223,-11.822461,-1.041602,9.232715,-11.964355,-0.900488,8.928711,-12.072266,0.54502,-8.646875,-12.40498,0.815527,-8.769043,-12.267676,0.969922,-8.347656,11.937793,0.945215,8.537402,12.269141,0.928125,8.318262,12.26582,1.140918,8.512109,11.933301,-1.33125,-8.620605,11.951465,-0.944434,-8.641895,12.08418,-0.810645,-8.525879,-12.10036625,8.692447916666666,0.9486899166666667,0.046623802334059425,manual_x,3,manual_x_3V_cleaned.csv
-12.488477,-1.011426,8.856934,-12.079004,-1.042676,8.872266,-12.215527,-0.904297,8.568945,-12.308496,0.545508,-8.27959,-12.647266,0.809668,-8.391699,-12.500098,0.96709,-7.972852,12.173633,0.94043,8.170605,12.501563,0.931641,7.944043,12.500391,1.158984,8.136621,12.177246,-1.336816,-8.252051,12.192383,-0.93877,-8.277832,12.319336,-0.810645,-8.156445,-12.341951666666665,8.323323583333334,0.94982925,0.04724956127713775,manual_x,3,manual_x_3V_cleaned.csv
-12.751563,-1.012695,8.460254,-12.339941,-1.042773,8.480957,-12.470703,-0.908008,8.179395,-12.549902,0.545996,-7.883008,-12.892773,0.801465,-7.982715,-12.732812,0.962793,-7.568457,12.410645,0.935449,7.779687,12.730176,0.93584,7.539258,12.73291,1.176074,7.73125,12.419629,-1.341016,-7.856738,12.430371,-0.932129,-7.883301,12.55332,-0.810742,-7.757715,-12.584562083333333,7.925227916666667,0.950415,0.04888217911409395,manual_x,3,manual_x_3V_cleaned.csv
-12.980762,-1.013965,8.082617,-12.56748,-1.042773,8.109863,-12.693555,-0.911426,7.809668,-12.76123,0.545703,-7.506348,-13.107031,0.792188,-7.595215,-12.934668,0.958105,-7.183789,12.621387,0.928906,7.403809,12.933496,0.938867,7.156445,12.939648,1.189648,7.346582,12.633691,-1.344238,-7.482715,12.642676,-0.925391,-7.507812,12.76084,-0.811035,-7.379102,-12.798038666666667,7.546997083333334,0.9501870833333335,0.04979721894944252,manual_x,3,manual_x_3V_cleaned.csv
-13.20293,-1.01377,7.690527,-12.787305,-1.043164,7.731348,-12.907422,-0.915332,7.430176,-12.961328,0.547754,-7.12373,-13.313086,0.783887,-7.199316,-13.129492,0.955273,-6.794824,12.820605,0.923828,7.020117,13.124121,0.939844,6.761621,13.138184,1.203125,6.951465,12.838965,-1.346777,-7.095313,12.846484,-0.916992,-7.125488,12.957617,-0.809961,-6.992676,-13.002294916666667,7.15971675,0.9499755833333334,0.05073161136418127,manual_x,3,manual_x_3V_cleaned.csv
-13.406445,-1.01377,7.293945,-12.993164,-1.041113,7.343457,-13.10791,-0.918555,7.040723,-13.149219,0.548438,-6.729883,-13.503613,0.776563,-6.792969,-13.311133,0.952051,-6.392188,13.004785,0.917285,6.631055,13.308301,0.943457,6.361719,13.319434,1.218164,6.551855,13.030176,-1.349902,-6.700781,13.035937,-0.909863,-6.736328,13.142578,-0.809863,-6.595508,-13.192724583333332,6.764200916666667,0.9499186666666667,0.051152069912371374,manual_x,3,manual_x_3V_cleaned.csv
-13.601953,-1.013477,6.886719,-13.18877,-1.040039,6.944141,-13.299512,-0.921777,6.642676,-13.325684,0.549219,-6.329297,-13.686621,0.770117,-6.382812,-13.480273,0.946875,-5.98457,13.180957,0.909277,6.22998,13.475781,0.945312,5.950293,13.494141,1.231738,6.141211,13.212793,-1.350781,-6.297363,13.21543,-0.90332,-6.336328,13.31582,-0.809863,-6.19248,-13.373144583333334,6.3598225,0.94931625,0.05185138319372459,manual_x,3,manual_x_3V_cleaned.csv
-13.787598,-1.012109,6.472168,-13.374316,-1.037695,6.539648,-13.479492,-0.924316,6.241016,-13.493945,0.547559,-5.923828,-13.85625,0.760059,-5.961328,-13.645605,0.942285,-5.573047,13.345605,0.903809,5.823926,13.637793,0.944922,5.536426,13.656836,1.245801,5.727734,13.383594,-1.351562,-5.890723,13.386523,-0.894336,-5.930078,13.480957,-0.808301,-5.783301,-13.544042833333334,5.950268583333334,0.9477295000000001,0.052384345171896274,manual_x,3,manual_x_3V_cleaned.csv
